,dur,staA_id,staA_name,staB_id,staB_name,veh_id,passen_type,passen_gender,travel_date,travel_id,veh_count
4916,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5484,2,Male,12/17/2021,6412,23
4917,24 minutes,16,Steuart St at Market St,99,Folsom St at 15th St,868,2,Male,9/1/2018,3881,32
4918,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,901,1,Male,2/10/2020,18689,16
4919,9 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4911,2,Male,7/26/2017,21990,22
4920,9 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5023,2,Male,3/28/2017,10408,17
4921,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,3363,2,Male,4/2/2020,25308,3
4922,6 minutes,81,Berry St at 4th St,104,4th St at 16th St,4570,1,Female,8/24/2019,19882,21
4923,8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4986,2,Male,4/15/2017,16225,34
4924,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,2571,1,Male,5/10/2021,18906,27
4925,8 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,4994,1,Male,2/20/2021,923,2
4926,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),61,Howard St at 8th St,2165,1,Male,12/28/2017,19022,10
4927,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,1515,1,Female,11/12/2018,1243,14
4928,5 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4383,1,Male,7/12/2020,736,33
4929,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5281,2,Female,2/10/2017,21603,8
4930,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,43,2,Male,3/28/2019,20987,37
4931,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4736,2,Male,2/5/2019,15320,22
4932,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,2343,3,Male,6/26/2019,23343,22
4933,16 minutes,16,Steuart St at Market St,101,15th St at Potrero Ave,5000,2,Male,4/19/2018,1327,23
4934,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),500,2,Male,10/12/2017,4051,34
4935,8 minutes,3,Powell St BART Station (Market St at 4th St),30,San Francisco Caltrain (Townsend St at 4th St),5024,3,Male,3/21/2018,3312,38
4936,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),1544,2,Male,9/8/2019,7379,25
4937,4 minutes,5,Powell St BART Station (Market St at 5th St),21,Montgomery St BART Station (Market St at 2nd St),5462,1,Male,7/22/2021,14844,4
4938,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,3139,1,Male,11/9/2019,3762,34
4939,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),2761,1,Male,5/2/2018,24227,35
4940,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5082,2,Male,9/28/2019,5383,35
4941,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,2086,1,Male,11/12/2018,7353,32
4942,13 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,3048,1,Male,3/13/2019,10052,2
4943,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,3388,2,Male,2/25/2021,24282,5
4944,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),36,Folsom St at 3rd St,5380,2,Male,10/28/2018,14233,3
4945,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,5440,1,Female,1/9/2019,13671,11
4946,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),793,2,Male,3/27/2017,5404,21
4947,6 minutes,81,Berry St at 4th St,101,15th St at Potrero Ave,5521,1,Male,1/5/2018,4212,14
4948,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4757,1,Male,7/6/2020,20111,29
4949,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,4963,2,Male,6/26/2017,5413,34
4950,8 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,5301,2,Female,10/14/2021,24379,4
4951,8 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,4671,1,Female,8/28/2018,12497,8
4952,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,3400,1,Male,1/19/2018,24477,11
4953,5 minutes,22,Howard St at Beale St,343,Bryant St at 2nd St,4793,2,Male,3/1/2018,10726,28
4954,12 minutes,22,Howard St at Beale St,81,Berry St at 4th St,1896,3,Female,7/12/2018,10436,39
4955,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5482,2,Male,7/2/2017,20278,23
4956,9 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4852,1,Female,5/24/2017,23475,31
4957,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,3355,1,Male,6/21/2018,5846,32
4958,11 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),4939,2,Male,5/8/2019,12869,35
4959,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,2473,2,Male,1/7/2017,12792,35
4960,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,4557,3,Male,12/5/2017,8377,12
4961,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5300,2,Male,9/4/2018,12480,7
4962,6 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4811,3,Female,9/6/2019,7515,28
4963,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,45,2,Male,2/11/2018,20789,9
4964,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4586,1,Male,12/24/2017,12987,38
4965,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),41,Golden Gate Ave at Polk St,1850,2,Male,9/9/2017,20357,16
4966,5 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4996,1,Male,3/25/2021,5001,39
4967,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,2330,2,Male,5/24/2021,16297,23
4968,2 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,3579,1,Female,12/22/2021,12665,18
4969,8 minutes,81,Berry St at 4th St,22,Howard St at Beale St,4774,3,Male,9/11/2020,6771,20
4970,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),349,Howard St at Mary St,439,1,Male,11/22/2019,3060,18
4971,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,2351,1,Male,7/4/2019,22904,6
4972,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),1109,1,Male,11/13/2020,19365,4
4973,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,2395,1,Male,1/7/2020,7134,38
4974,2 minutes,22,Howard St at Beale St,25,Howard St at 2nd St,1535,2,Male,12/1/2021,11128,35
4975,7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),4617,3,Male,5/15/2021,10332,0
4976,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5380,2,Female,1/3/2021,18145,5
4977,8 minutes,22,Howard St at Beale St,9,Broadway at Battery St,873,2,Male,4/12/2020,9785,37
4978,14 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,2960,3,Male,3/13/2021,24296,3
4979,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,135,1,Male,2/26/2020,18418,26
4980,8 minutes,22,Howard St at Beale St,81,Berry St at 4th St,4994,2,Female,10/24/2017,704,29
4981,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,2366,1,Male,2/11/2020,10845,27
4982,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,685,3,Male,12/3/2020,25576,6
4983,9 minutes,22,Howard St at Beale St,349,Howard St at Mary St,2206,2,Male,5/19/2018,16152,1
4984,8 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,3675,3,Male,3/22/2019,10010,18
4985,6 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,5141,2,Female,8/25/2020,21442,13
4986,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),59,S Van Ness Ave at Market St,4561,1,Male,6/12/2020,24269,14
4987,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1353,3,Male,11/21/2018,19349,28
4988,13 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,1718,2,Male,7/24/2021,13972,12
4989,10 minutes,22,Howard St at Beale St,77,11th St at Natoma St,5222,2,Male,12/14/2020,11881,10
4990,5 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,4877,2,Male,6/11/2017,20461,0
4991,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),4821,3,Female,9/11/2020,11476,14
4992,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5300,1,Male,5/21/2019,23161,0
4993,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5424,2,Male,8/18/2021,22136,28
4994,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,3004,3,Male,10/5/2020,1028,21
4995,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,4383,1,Male,4/26/2018,14703,28
4996,45 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,2619,2,Male,10/21/2021,13285,5
4997,6 minutes,22,Howard St at Beale St,9,Broadway at Battery St,1777,1,Male,3/1/2017,17815,14
4998,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4811,3,Female,7/16/2020,15951,0
4999,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),3128,2,Male,2/27/2019,8775,5
5000,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,1226,3,Female,12/22/2020,11874,31
5001,12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,2644,2,Male,7/8/2017,1659,33
5002,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),5276,3,Male,5/14/2021,14890,13
5003,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),36,Folsom St at 3rd St,4372,3,Male,7/21/2019,5346,3
5004,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,4852,2,Female,8/24/2019,2118,28
5005,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),25,Howard St at 2nd St,5246,2,Male,4/14/2019,17475,3
5006,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,5305,1,Male,3/8/2017,14832,12
5007,17 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,341,1,Female,2/21/2017,6759,6
5008,5 minutes,16,Steuart St at Market St,25,Howard St at 2nd St,1666,1,Male,6/1/2020,22406,19
5009,5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2355,1,Male,6/7/2017,16813,17
5010,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,4793,1,Male,4/28/2018,19157,39
5011,12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4533,2,Male,11/7/2018,16019,6
5012,4 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,5373,2,Male,7/16/2020,22072,32
5013,4 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5110,3,Female,4/12/2018,16718,1
5014,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,661,1,Male,8/23/2019,2046,37
5015,7 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5367,3,Male,5/16/2018,23050,36
5016,11 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4315,2,Male,7/16/2021,10457,37
5017,4 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,5412,1,Male,10/1/2021,17615,31
5018,9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,4994,2,Male,4/6/2017,6441,23
5019,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,4730,3,Male,10/14/2018,21783,25
5020,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,4343,1,Male,4/7/2018,17978,23
5021,8 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,2001,2,Male,2/9/2021,863,31
5022,7 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5000,3,Female,8/2/2017,6821,32
5023,7 minutes,16,Steuart St at Market St,25,Howard St at 2nd St,1606,2,Female,5/1/2019,6125,23
5024,11 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,4553,2,Male,4/6/2021,24169,25
5025,5 minutes,16,Steuart St at Market St,9,Broadway at Battery St,1992,2,Male,12/24/2021,25044,4
5026,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5200,1,Male,12/14/2020,2336,0
5027,5 minutes,22,Howard St at Beale St,8,The Embarcadero at Vallejo St,5574,1,Male,8/15/2020,8059,34
5028,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),36,Folsom St at 3rd St,4344,2,Male,4/3/2018,25059,39
5029,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,4653,2,Female,3/27/2017,7219,26
5030,7 minutes,81,Berry St at 4th St,349,Howard St at Mary St,4453,1,Male,4/17/2020,592,30
5031,17 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),58,Market St at 10th St,2215,3,Male,7/20/2020,22550,37
5032,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,1090,2,Male,8/23/2019,10946,25
5033,29 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,3453,2,Female,1/3/2018,15033,24
5034,7 minutes,81,Berry St at 4th St,104,4th St at 16th St,5036,2,Female,10/9/2019,8575,14
5035,11 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,3109,1,Female,2/23/2021,3976,31
5036,6 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,3717,2,Male,4/28/2019,939,25
5037,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,4939,1,Male,3/24/2018,13767,26
5038,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,757,3,Female,5/20/2020,17748,7
5039,11 minutes,16,Steuart St at Market St,81,Berry St at 4th St,1116,2,Male,4/27/2021,25516,14
5040,12 minutes,22,Howard St at Beale St,80,Townsend St at 5th St,4326,2,Male,6/17/2021,6586,31
5041,5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,1871,2,Male,2/28/2017,20140,5
5042,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,283,1,Female,5/1/2019,4154,5
5043,6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,1252,2,Male,3/24/2019,14606,12
5044,6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,4798,3,Male,8/19/2018,24264,21
5045,4 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4850,3,Male,3/27/2017,17851,18
5046,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),17,Embarcadero BART Station (Beale St at Market St),5356,2,Male,10/2/2018,11758,21
5047,9 minutes,81,Berry St at 4th St,102,Irwin St at 8th St,6235,1,Male,5/12/2018,15779,1
5048,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),355,23rd St at Tennessee St,4746,2,Male,1/27/2020,22795,12
5049,4 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4803,3,Male,1/21/2017,243,25
5050,18 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),9,Broadway at Battery St,2039,2,Male,9/13/2021,6409,5
5051,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),49,S Park St at 3rd St,2672,2,Male,12/21/2018,14138,13
5052,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5125,2,Male,10/8/2019,18834,38
5053,15 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),102,Irwin St at 8th St,1834,2,Male,8/28/2021,11808,2
5054,6 minutes,22,Howard St at Beale St,36,Folsom St at 3rd St,37,2,Male,4/4/2020,14096,37
5055,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),58,Market St at 10th St,4407,2,Other,2/12/2018,10074,33
5056,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,5182,3,Male,10/12/2018,19447,2
5057,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),27,Beale St at Harrison St,579,1,Male,10/7/2021,4997,27
5058,7 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4315,3,Male,11/3/2020,2267,5
5059,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,4570,1,Male,3/23/2019,16385,39
5060,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),42,San Francisco City Hall (Polk St at Grove St),1035,3,Male,2/10/2017,21280,5
5061,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,3617,2,Male,3/7/2021,11581,34
5062,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,1839,2,Male,5/27/2020,6727,37
5063,4 minutes,16,Steuart St at Market St,8,The Embarcadero at Vallejo St,1396,2,Male,10/12/2018,15393,13
5064,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5440,3,Male,9/13/2021,4007,9
5065,12 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,4979,1,Male,7/13/2017,20836,15
5066,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),21,Montgomery St BART Station (Market St at 2nd St),114,3,Male,1/1/2020,24409,20
5067,4 minutes,5,Powell St BART Station (Market St at 5th St),47,4th St at Harrison St,2222,3,Male,12/3/2018,23042,27
5068,7 minutes,81,Berry St at 4th St,24,Spear St at Folsom St,4750,2,Female,4/2/2020,19007,39
5069,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),27,Beale St at Harrison St,4329,3,Male,12/21/2018,18973,16
5070,15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5423,2,Male,7/10/2021,25437,19
5071,4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,1445,1,Male,10/2/2021,4914,25
5072,9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,5222,2,Male,5/3/2017,20639,14
5073,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,1650,2,Male,10/16/2018,23477,10
5074,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,688,2,Male,9/3/2017,18772,39
5075,8 minutes,22,Howard St at Beale St,80,Townsend St at 5th St,5310,3,Female,12/23/2019,8889,2
5076,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,486,3,Male,11/26/2019,20018,36
5077,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),363,Salesforce Transit Center (Natoma St at 2nd St),1809,1,Female,8/15/2021,3649,0
5078,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5202,2,Male,6/19/2017,21643,22
5079,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),5065,2,Male,5/4/2018,4409,28
5080,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,2778,3,Male,7/13/2017,8706,8
5081,3 minutes,16,Steuart St at Market St,22,Howard St at Beale St,873,2,Male,9/3/2017,8118,29
5082,13 minutes,5,Powell St BART Station (Market St at 5th St),88,11th St at Bryant St,1705,1,Male,11/16/2018,24944,37
5083,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,4361,2,Male,4/17/2018,24281,21
5084,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),284,Yerba Buena Center for the Arts (Howard St at 3rd St),962,2,Male,3/2/2017,15831,28
5085,10 minutes,16,Steuart St at Market St,81,Berry St at 4th St,5000,3,Male,3/11/2017,5119,21
5086,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,3299,2,Female,1/9/2018,374,7
5087,6 minutes,22,Howard St at Beale St,8,The Embarcadero at Vallejo St,5481,1,Male,3/17/2021,23837,4
5088,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),1591,2,Male,12/15/2019,18639,32
5089,13 minutes,81,Berry St at 4th St,130,22nd St Caltrain Station,4960,2,Male,3/3/2021,21297,0
5090,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),27,Beale St at Harrison St,2165,2,Female,11/21/2017,5152,29
5091,7 minutes,22,Howard St at Beale St,47,4th St at Harrison St,322,1,Male,9/22/2020,13329,39
5092,4 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2535,2,Male,7/16/2020,21255,24
5093,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),1445,1,Male,5/12/2017,15132,4
5094,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),102,Irwin St at 8th St,1453,2,Female,4/19/2018,10938,35
5095,9 minutes,5,Powell St BART Station (Market St at 5th St),81,Berry St at 4th St,6235,1,Male,10/22/2018,6450,18
5096,3 minutes,16,Steuart St at Market St,23,The Embarcadero at Steuart St,62,2,Male,7/8/2018,13568,27
5097,19 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2093,3,Male,10/17/2019,20774,35
5098,3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),20,Mechanics Monument Plaza (Market St at Bush St),2033,2,Male,12/10/2020,22800,20
5099,2 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,4923,1,Male,4/11/2019,10275,11
5100,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,5286,2,Male,8/25/2021,2321,8
5101,6 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,3312,3,Male,3/24/2018,9222,20
5102,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,4741,3,Male,2/23/2019,19852,0
5103,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,5358,3,Female,9/8/2021,15014,36
5104,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,2526,3,Male,1/9/2021,13919,4
5105,20 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,148,2,Female,6/28/2018,7819,33
5106,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,5462,3,Male,4/24/2017,11940,30
5107,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5574,2,Male,5/2/2021,21794,39
5108,4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,5380,2,Female,8/16/2019,24327,22
5109,6 minutes,5,Powell St BART Station (Market St at 5th St),90,Townsend St at 7th St,793,2,Male,8/9/2021,21552,11
5110,4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),349,Howard St at Mary St,4318,2,Male,7/26/2020,1940,23
5111,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,1148,3,Male,9/19/2020,20629,23
5112,14 minutes,3,Powell St BART Station (Market St at 4th St),350,8th St at Brannan St,3053,2,Female,10/21/2017,18141,19
5113,8 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,5020,1,Female,11/13/2018,9022,33
5114,13 minutes,21,Montgomery St BART Station (Market St at 2nd St),126,Esprit Park,5008,3,Male,8/25/2021,7511,19
5115,12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),8,The Embarcadero at Vallejo St,4609,2,Male,7/1/2021,15730,27
5116,11 minutes,81,Berry St at 4th St,355,23rd St at Tennessee St,5426,2,Female,11/8/2019,17616,6
5117,7 minutes,22,Howard St at Beale St,349,Howard St at Mary St,3253,2,Male,11/20/2018,20992,38
5118,8 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,4977,1,Female,4/10/2017,11140,10
5119,16 minutes,30,San Francisco Caltrain (Townsend St at 4th St),10,Washington St at Kearny St,1154,3,Female,5/5/2020,11142,36
5120,11 minutes,22,Howard St at Beale St,15,San Francisco Ferry Building (Harry Bridges Plaza),1591,1,Female,1/8/2021,12807,37
5121,5 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5425,3,Female,2/18/2017,17680,21
5122,3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,3732,1,Male,1/17/2017,11684,20
5123,17 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),368,Myrtle St at Polk St,2426,1,Female,3/4/2017,20087,30
5124,25 minutes,16,Steuart St at Market St,360,Newhall St at 3rd St,4758,1,Female,11/8/2018,14371,13
5125,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,4601,2,Male,11/19/2017,12034,4
5126,6 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,4719,1,Male,8/6/2018,12205,2
5127,12 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,1836,2,Male,12/7/2017,14677,21
5128,9 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5019,1,Male,8/16/2019,25210,36
5129,12 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,2197,2,Male,2/15/2021,1235,15
5130,4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4742,2,Male,4/13/2020,10312,16
5131,13 minutes,16,Steuart St at Market St,30,San Francisco Caltrain (Townsend St at 4th St),5423,3,Female,4/22/2018,21517,36
5132,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,4801,2,Male,2/4/2019,16257,19
5133,2 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5065,1,Female,4/16/2017,23975,3
